CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityStartDate,MonitoringLocationIdentifier,OrganizationFormalName,ResultStatusIdentifier
Manganese,4.94,mg/L,2020-04-01,MONT_PPL_WQX-946,Montana PPL Corporation,Final
Manganese,0.00243,mg/L,2020-10-05,EVR-RG_DSELK,EVR Operations Limited,Final
Manganese,0.022,mg/L,2020-11-17,MONT_PPL_WQX-970D,Montana PPL Corporation,Final
Manganese,0.0239,mg/L,2020-12-01,ARDEQH2O_WQX-OUA0230,Arkansas Department of Environmental Quality,Final
Manganese,0.03,mg/L,2020-05-06,21AWIC-2835,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,Final
Manganese,0.117,mg/L,2020-07-13,21AWIC-7070,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,Final
Manganese,0.028,mg/L,2020-07-23,21NMEX_WQX-50PecosR697.0,NM Environmental Dept./SWQB,Final
Manganese,2.48,mg/L,2020-07-24,42SRBCWQ_WQX-UNNT000.9-4078,Susquehanna River Basin Commission,Final
Manganese,0.00225,mg/L,2020-06-18,EVR-RG_GC,EVR Operations Limited,Final
Manganese,0.00344,mg/L,2020-10-05,EVR-RG_DSELK,EVR Operations Limited,Final
Manganese,0.205,mg/L,2020-08-26,MONT_PPL_WQX-72M,Montana PPL Corporation,Final
Manganese,0.011,mg/L,2020-06-11,21SC60WQ_WQX-RL-20195,South Carolina Department of Environmental Services,Final
Manganese,0.009,mg/L,2020-01-02,WVDEP_WQX-6605,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Manganese,4.12,mg/L,2020-10-01,MONT_PPL_WQX-184SP-CCR,Montana PPL Corporation,Final
Manganese,0.083,mg/L,2020-09-10,21NDHDWQ_WQX-381171,North Dakota Department Of Environmental Quality,Final
Manganese,0.065,mg/L,2020-04-14,MONT_PPL_WQX-386D,Montana PPL Corporation,Final
Manganese,0.0579,mg/L,2020-06-04,EVR-RG_BORDER,EVR Operations Limited,Final
